wavelength,value
376.35577726575514,489.23809523809524
376.50081680013295,497.85714285714283
376.64585096655674,496.6190476190476
376.79087977299827,500.0952380952381
376.9359032274296,501.23809523809524
377.08092133782264,498.9047619047619
377.2259341121492,499.95238095238096
377.37094155838133,506.8095238095238
377.5159436844909,503.14285714285717
377.66094049844975,515.0952380952381
377.8059320082299,509.4761904761905
377.95091822180325,517.1904761904761
378.09589914714167,511.23809523809524
378.24087479221714,520.9047619047619
378.3858451650015,523.1904761904761
378.5308102734668,523.4285714285714
378.67577012558485,523.8095238095239
378.8207247293276,526.2857142857143
378.965674092667,527.4285714285714
379.1106182235749,529.8095238095239
379.2555571300232,528.7619047619048
379.40049081998393,541.4285714285714
379.545419301429,542.5238095238095
379.6903425823302,539.7619047619048
379.8352606706596,547.3333333333334
379.98017357438897,551.0
380.12508130149035,552.3809523809524
380.2699838599356,554.6666666666666
380.4148812576967,559.6666666666666
380.55977350274554,560.2857142857143
380.704660603054,563.3333333333334
380.849542566594,567.3333333333334
380.9944194013375,576.4761904761905
381.1392911152564,576.6666666666666
381.2841577163226,583.3333333333334
381.4290192125081,580.2857142857143
381.5738756117847,585.3333333333334
381.7187269221244,595.9047619047619
381.86357315149905,588.2857142857143
382.0084143078807,594.5238095238095
382.15325039924113,595.6666666666666
382.29808143355234,593.1904761904761
382.4429074187862,591.0
382.5877283629146,591.8571428571429
382.7325442739096,585.8095238095239
382.877355159743,579.2380952380952
383.02216102838673,578.7142857142857
383.16696188781276,570.2857142857143
383.3117577459929,570.5714285714286
383.45654861089923,564.5714285714286
383.6013344905035,558.1904761904761
383.7461153927778,550.952380952381
383.89089132569393,558.2380952380952
384.03566229722384,548.8571428571429
384.18042831533944,550.6666666666666
384.32518938801263,542.0
384.4699455232154,548.2380952380952
384.6146967289196,556.6190476190476
384.7594430130972,554.952380952381
384.90418438372006,556.4285714285714
385.04892084876013,560.7619047619048
385.19365241618937,563.4761904761905
385.33837909397965,581.5238095238095
385.4831008901029,584.2857142857143
385.627817812531,599.5714285714286
385.77252986923594,609.952380952381
385.9172370681896,621.7619047619048
386.06193941736393,612.3809523809524
386.2066369247308,629.6666666666666
386.3513295982621,628.3809523809524
386.49601744592985,632.8095238095239
386.64070047570596,624.6666666666666
386.78537869556226,630.9047619047619
386.9300521134707,621.4761904761905
387.07472073740325,622.8095238095239
387.2193845753318,619.5714285714286
387.36404363522826,622.3809523809524
387.50869792506455,620.1904761904761
387.65334745281257,617.7142857142857
387.7979922264443,620.1428571428571
387.9426322539316,618.3809523809524
388.0872675432464,630.047619047619
388.2318981023607,636.3809523809524
388.3765239392462,634.1904761904761
388.5211450618751,651.1904761904761
388.6657614782191,651.7619047619048
388.8103731962503,666.9047619047619
388.9549802239404,673.2857142857143
389.09958256926154,687.5714285714286
389.2441802401855,703.3809523809524
389.3887732446843,716.3333333333334
389.5333615907297,738.2857142857143
389.6779452862938,744.047619047619
389.8225243393484,752.4761904761905
389.9670987578654,775.3333333333334
390.11166854981684,787.1904761904761
390.25623372317455,791.2380952380952
390.4007942859105,799.7142857142857
390.54535024599653,790.0
390.68990161140465,804.4761904761905
390.83444839010673,807.5714285714286
390.9789905900747,817.3333333333334
391.1235282192805,828.047619047619
391.268061285696,828.952380952381
391.41258979729315,837.1904761904761
391.55711376204385,833.2380952380952
391.70163318792004,837.5238095238095
391.8461480828936,848.9047619047619
391.9906584549365,850.1904761904761
392.13516431202066,857.2380952380952
392.27966566211796,858.0952380952381
392.4241625132004,870.0952380952381
392.5686548732397,871.9047619047619
392.713142750208,883.1904761904761
392.85762615207716,889.0952380952381
393.00210508681903,885.0
393.1465795624056,896.8095238095239
393.29104958680875,897.952380952381
393.4355151680004,915.2857142857143
393.57997631395244,913.8571428571429
393.72443303263685,909.5238095238095
393.86888533202557,921.3333333333334
394.01333322009043,921.2380952380952
394.15777670480344,915.5714285714286
394.30221579413643,928.2857142857143
394.44665049606135,919.2380952380952
394.59108081855015,924.2380952380952
394.7355067695747,929.2380952380952
394.879928357107,930.952380952381
395.0243455891189,936.1904761904761
395.16875847358233,935.3333333333334
395.31316701846924,932.952380952381
395.4575712317515,938.6666666666666
395.60197112140105,921.7619047619048
395.7463666953898,939.3333333333334
395.8907579616897,940.3809523809524
396.03514492827264,937.952380952381
396.17952760311056,928.2380952380952
396.32390599417533,935.3809523809524
396.468280109439,930.5714285714286
396.61264995687327,935.7142857142857
396.75701554445027,920.952380952381
396.9013768801418,932.047619047619
397.0457339719198,925.5714285714286
397.1900868277562,922.8095238095239
397.33443545562295,925.952380952381
397.4787798634919,934.3809523809524
397.62312005933506,935.4285714285714
397.76745605112427,918.4285714285714
397.9117878468315,922.4285714285714
398.0561154544286,928.0952380952381
398.2004388818876,934.2857142857143
398.3447581371803,927.1904761904761
398.48907322827864,939.3809523809524
398.63338416315463,934.8095238095239
398.7776909497801,954.5238095238095
398.921993596127,960.5714285714286
399.06629211016724,959.3333333333334
399.21058649987276,960.0
399.35487677321544,965.2380952380952
399.4991629381673,965.3809523809524
399.64344500270005,966.8571428571429
399.7877229747858,971.8571428571429
399.93199686239643,956.5238095238095
400.0762666735039,978.2857142857143
400.22053241607995,974.3809523809524
400.3647940980967,975.3809523809524
400.50905172752596,980.1428571428571
400.6533053123396,975.7142857142857
400.7975548605097,977.0
400.9418003800081,980.7142857142857
401.08604187880667,988.9047619047619
401.2302793648774,980.047619047619
401.37451284619215,994.047619047619
401.5187423307229,995.5714285714286
401.6629678264415,1007.1904761904761
401.80718934131994,1007.0
401.9514068833301,1017.3333333333334
402.09562046044385,1019.6666666666666
402.2398300806332,1033.4285714285713
402.38403575187004,1037.7619047619048
402.5282374821263,1048.6190476190477
402.6724352793739,1053.4285714285713
402.81662915158466,1063.5238095238096
402.9608191067306,1066.6666666666667
403.10500515278363,1072.5714285714287
403.24918729771565,1088.8095238095239
403.3933655494986,1075.5714285714287
403.5375399161043,1091.3333333333333
403.6817104055049,1097.5238095238096
403.82587702567207,1097.7142857142858
403.9700397845778,1106.904761904762
404.11419869019414,1104.142857142857
404.25835375049286,1107.142857142857
404.4025049734459,1108.6190476190477
404.5466523670252,1112.7619047619048
404.69079593920276,1109.4285714285713
404.83493569795036,1119.095238095238
404.97907165123996,1122.142857142857
405.1232038070436,1125.8095238095239
405.267332173333,1112.7619047619048
405.4114567580802,1131.8095238095239
405.55557756925714,1134.2857142857142
405.69969461483566,1130.952380952381
405.8438079027877,1150.3809523809523
405.98791744108524,1139.0
406.13202323770014,1148.142857142857
406.2761253006043,1161.2380952380952
406.4202236377697,1154.8095238095239
406.5643182571682,1171.6190476190477
406.7084091667718,1150.7142857142858
406.85249637455235,1163.952380952381
406.9965798884818,1164.7142857142858
407.140659716532,1166.3333333333333
407.28473586667496,1158.3333333333333
407.42880834688253,1158.904761904762
407.5728771651267,1169.142857142857
407.7169423293794,1165.5238095238096
407.8610038476124,1159.5238095238096
408.00506172779774,1167.142857142857
408.14911597790734,1168.7142857142858
408.29316660591314,1154.3333333333333
408.437213619787,1164.7619047619048
