x-position,value
0.0,377.30521091811414
1.0,382.23460410557186
2.0,380.81720430107526
3.0,379.609756097561
4.0,379.43002544529264
5.0,384.26349206349204
6.0,385.9475806451613
7.0,382.0373333333333
8.0,379.59705882352944
9.0,380.7566844919786
10.0,375.6730769230769
11.0,382.7525773195876
12.0,381.73408239700376
13.0,378.6224489795918
14.0,376.37393162393164
15.0,377.7150997150997
16.0,381.92883895131087
17.0,377.83741648106906
18.0,374.85510204081635
19.0,375.4734607218684
20.0,380.34502923976606
21.0,378.2117903930131
22.0,379.6022099447514
23.0,380.4502923976608
24.0,381.8388059701493
25.0,377.25401069518716
26.0,377.5488069414317
27.0,379.9145569620253
28.0,377.8905109489051
29.0,375.25964010282775
30.0,376.6992665036675
31.0,376.78054298642536
32.0,378.31235431235433
33.0,374.69498910675384
34.0,378.2093663911846
35.0,376.6431818181818
36.0,371.9425287356322
37.0,376.28139534883724
38.0,375.60138248847926
39.0,375.204641350211
40.0,378.162037037037
41.0,375.4791666666667
42.0,377.6641414141414
43.0,375.06709956709955
44.0,375.11607142857144
45.0,375.55452436194895
46.0,376.42
47.0,374.5225653206651
48.0,377.0141509433962
49.0,376.09615384615387
50.0,377.1969696969697
51.0,375.30143540669854
52.0,378.8763736263736
53.0,376.47258485639685
54.0,374.5111111111111
55.0,375.93459915611817
56.0,375.24305555555554
57.0,379.85064935064935
58.0,375.0824295010846
59.0,373.66602687140113
60.0,377.88470588235293
61.0,375.0052356020942
62.0,378.40318302387266
63.0,380.0826210826211
64.0,379.37974683544303
65.0,378.8027397260274
66.0,379.47978436657684
67.0,376.7238095238095
68.0,379.5269121813031
69.0,380.75085324232083
70.0,375.64425162689804
71.0,374.4434180138568
72.0,379.3431952662722
73.0,377.38709677419354
74.0,379.6106870229008
75.0,377.0928381962865
76.0,374.85835095137423
77.0,376.15714285714284
78.0,379.08776595744683
79.0,375.1136363636364
80.0,377.5972602739726
81.0,379.37467700258395
82.0,379.04611650485435
83.0,378.51908396946567
84.0,381.0766871165644
85.0,376.6328125
86.0,374.78444444444443
87.0,375.92978208232444
88.0,378.61160714285717
89.0,382.43071161048687
90.0,377.96875
91.0,382.83914209115284
92.0,378.9912790697674
93.0,387.5687203791469
94.0,387.07835820895525
95.0,386.9584905660377
96.0,393.40526315789475
97.0,426.06060606060606
98.0,477.5263157894737
99.0,504.6666666666667
100.0,589.36
101.0,592.0689655172414
102.0,637.5172413793103
103.0,706.3870967741935
104.0,782.8275862068965
105.0,880.8518518518518
106.0,947.0689655172414
107.0,1035.0689655172414
108.0,1128.1333333333334
109.0,1206.6774193548388
110.0,1333.3666666666666
111.0,1408.0
112.0,1496.46875
113.0,1619.84375
114.0,1706.969696969697
115.0,1758.6470588235295
116.0,1895.6969696969697
117.0,1952.4117647058824
118.0,2047.7941176470588
119.0,2203.1875
120.0,2228.9411764705883
121.0,2379.151515151515
122.0,2481.4545454545455
123.0,2625.212121212121
124.0,2685.5454545454545
125.0,2824.4545454545455
126.0,2950.6363636363635
127.0,3157.1612903225805
128.0,3279.4193548387098
129.0,3384.451612903226
130.0,3369.3225806451615
131.0,3376.3225806451615
132.0,3296.1290322580644
133.0,3152.71875
134.0,3107.09375
135.0,3088.8064516129034
136.0,2995.733333333333
137.0,2850.8709677419356
138.0,2817.266666666667
139.0,2663.0666666666666
140.0,2477.7
141.0,2279.8
142.0,2205.1428571428573
143.0,2069.740740740741
144.0,1917.0
145.0,1750.12
146.0,1626.0434782608695
147.0,1482.3333333333333
148.0,1278.5
149.0,1016.8
150.0,751.25
151.0,551.95
152.0,424.92537313432837
153.0,392.764367816092
154.0,385.43983402489624
155.0,383.65384615384613
156.0,386.1604938271605
157.0,382.55627009646304
158.0,383.9070796460177
159.0,375.1600985221675
160.0,373.3982683982684
161.0,376.11590296495956
162.0,374.96495327102804
163.0,373.7772151898734
164.0,374.8531468531468
165.0,375.7120181405896
166.0,376.3005780346821
167.0,374.8975409836066
168.0,373.56053811659194
169.0,373.4182242990654
170.0,375.0114613180516
171.0,380.8354037267081
172.0,371.38584474885846
173.0,379.53133514986376
174.0,372.0022573363431
175.0,375.27047146401986
176.0,376.2364066193853
177.0,376.38924731182794
178.0,376.02941176470586
179.0,373.95550351288057
180.0,372.5720430107527
181.0,374.56876456876455
182.0,373.83668341708545
183.0,378.1671641791045
184.0,371.9197247706422
185.0,374.3724137931035
186.0,372.86650485436894
187.0,372.70080862533695
188.0,375.2401055408971
189.0,375.89208633093523
190.0,378.09068010075566
191.0,372.6052060737527
192.0,379.4423076923077
193.0,372.6919642857143
194.0,374.8568075117371
195.0,374.52525252525254
196.0,370.5178947368421
197.0,372.55555555555554
198.0,373.1640449438202
199.0,382.73858921161826
200.0,373.61498708010333
201.0,372.7951807228916
202.0,374.635
203.0,374.5833333333333
204.0,373.0095923261391
205.0,368.5811088295688
206.0,371.4340044742729
207.0,372.55309734513276
208.0,373.79265091863516
209.0,373.5055187637969
210.0,374.0806451612903
211.0,373.95594713656385
212.0,376.34935897435895
213.0,372.82238442822387
214.0,373.3181818181818
215.0,373.2838137472284
216.0,374.59274193548384
217.0,374.09669211195927
218.0,373.7193396226415
219.0,371.1185031185031
220.0,373.1679389312977
221.0,377.74869109947645
222.0,377.53745928338765
223.0,376.4504950495049
224.0,372.3448275862069
225.0,375.8802083333333
226.0,375.264367816092
227.0,371.4306220095694
228.0,377.9099378881988
229.0,374.47222222222223
230.0,375.4638949671772
231.0,378.48442906574394
232.0,377.7613941018767
233.0,373.34090909090907
234.0,372.6637554585153
235.0,374.5394402035623
236.0,376.58378378378376
237.0,370.73217726396916
238.0,373.433242506812
239.0,373.6563245823389
240.0,377.07062146892656
241.0,374.08474576271186
242.0,373.33842794759823
243.0,372.6096997690531
244.0,372.63978494623655
245.0,374.03695150115476
246.0,370.9320843091335
247.0,372.50602409638554
248.0,376.0734908136483
249.0,376.52830188679246
250.0,373.0862831858407
251.0,373.4739454094293
252.0,374.435960591133
253.0,373.13548387096773
254.0,374.130081300813
255.0,374.63422818791946
256.0,378.64666666666665
257.0,375.35843373493975
258.0,372.27868852459017
259.0,369.6756756756757
260.0,375.90714285714284
261.0,372.0620842572062
262.0,375.26933333333335
263.0,375.95380434782606
264.0,371.6666666666667
265.0,373.96315789473687
266.0,378.3653136531365
267.0,372.01573033707865
268.0,374.1443736730361
269.0,371.220202020202
270.0,375.25558312655085
271.0,373.9191011235955
272.0,375.3407960199005
273.0,372.58082191780824
274.0,371.9352517985611
275.0,371.6355748373102
276.0,373.6507592190889
277.0,373.9630606860158
278.0,374.1372549019608
279.0,371.3536299765808
280.0,373.01918465227817
281.0,373.28539325842695
282.0,376.91812865497076
283.0,374.9187675070028
284.0,369.9282868525896
285.0,371.8627906976744
286.0,374.44919786096256
287.0,374.811797752809
288.0,377.3789173789174
289.0,373.7838479809976
290.0,375.6846652267819
291.0,375.4951219512195
292.0,370.7505154639175
293.0,373.5220588235294
294.0,372.35185185185185
295.0,369.9204081632653
296.0,373.0769230769231
297.0,371.092050209205
298.0,374.9770642201835
299.0,371.6807610993657
300.0,373.48533333333336
301.0,373.2821782178218
302.0,372.5736040609137
303.0,370.57142857142856
304.0,367.58316221765915
305.0,374.9817708333333
306.0,371.163829787234
